feature_version,penalty_rate,penalty_definition,model,W1,W2,n_features,selected_features,selection_method,standardized_features,selection_threshold,nRMSE,optimality_gap_pct,profit,oracle_profit,mean_prediction,mean_actual,mean_shortage,mean_surplus,prediction_at_lower_rate,prediction_at_upper_rate,setting_order,solver_status,solver_runtime
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Baseline MLR,,,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,43.2477220217523,22.311107050801105,12782.20059705837,16453.060549358976,0.4660475388775033,0.3925160256410256,0.10434157265746496,0.030810059420987378,0.0008333333333333334,0.0,-1,,
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,1.0,20.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,38.527407730239474,17.83554713292216,13518.567180269834,16453.060549358976,0.4084125213722252,0.3925160256410256,0.06804400495114285,0.05214750921994328,0.0008333333333333334,0.0,0,2.0,1.0280001163482666
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,1.0,10.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,38.6477860817282,16.14455658466299,13796.786879058853,16453.060549358976,0.37982423808785026,0.3925160256410256,0.053760537899802674,0.066452325452978,0.0008333333333333334,0.0,1,2.0,1.2160000801086426
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,1.0,5.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,39.67558628739092,15.193126471412853,13953.326251676732,16453.060549358976,0.360438604944244,0.3925160256410256,0.045318699452814415,0.07739612014959604,0.0008333333333333334,0.0,2,2.0,1.3480000495910645
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,1.0,2.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,41.86135567294955,14.312383552131301,14098.235417470318,16453.060549358976,0.3370159598819569,0.3925160256410256,0.03663892332941657,0.09213898908848533,0.0008333333333333334,0.0,3,2.0,1.5149998664855957
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,1.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,42.48422136752182,14.145018814512186,14125.772039089066,16453.060549358976,0.33179181067002866,0.3925160256410256,0.03490368624581487,0.09562790121681185,0.0008333333333333334,0.0,4,2.0,1.5809998512268066
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,2.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,42.87243877050802,14.054236537593097,14140.70850207865,16453.060549358976,0.32871442702662323,0.3925160256410256,0.03392381046235255,0.09772540907675491,0.0008333333333333334,0.0,5,2.0,1.5329999923706055
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,5.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,43.272628924110315,13.966315263352486,14155.174242565226,16453.060549358976,0.32566178445704075,0.3925160256410256,0.03297653151997484,0.09983077270395974,0.0008333333333333334,0.0,6,2.0,1.5810000896453857
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,10.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,43.45114234177364,13.928915795004238,14161.327599737702,16453.060549358976,0.3243350375014139,0.3925160256410256,0.03256783694368496,0.1007488250832967,0.0008333333333333334,0.0,7,2.0,1.6740000247955322
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,20.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,43.45114234177364,13.928915795004238,14161.327599737702,16453.060549358976,0.3243350375014139,0.3925160256410256,0.03256783694368496,0.1007488250832967,0.0008333333333333334,0.0,8,2.0,1.1679999828338623
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,1.0,0.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,43.4866588024434,13.921838848565557,14162.491974020304,16453.060549358976,0.3240734723012171,0.3925160256410256,0.032487875923861015,0.1009304292636695,0.0008333333333333334,0.0,9,2.0,0.25300002098083496
